State,Month,MajorEligibilityGroup,CountEnrolled,DQUnusable
Alabama,201601,Children,"635,371",
Alabama,201601,Adult expansion group,0,
Alabama,201601,Adult,"174,076",
Alabama,201601,Aged,"111,250",
Alabama,201601,Persons with disabilities,"215,980",
Alabama,201601,COVID newly-eligible,0,
Alabama,201601,Unknown,35,
Alabama,201602,Children,"635,207",
Alabama,201602,Adult expansion group,0,
Alabama,201602,Adult,"173,573",
Alabama,201602,Aged,"111,285",
Alabama,201602,Persons with disabilities,"215,827",
Alabama,201602,COVID newly-eligible,0,
Alabama,201602,Unknown,41,
Alabama,201603,Children,"636,456",
Alabama,201603,Adult expansion group,0,
Alabama,201603,Adult,"173,805",
Alabama,201603,Aged,"111,348",
Alabama,201603,Persons with disabilities,"215,505",
Alabama,201603,COVID newly-eligible,0,
Alabama,201603,Unknown,53,
Alabama,201604,Children,"636,809",
Alabama,201604,Adult expansion group,0,
Alabama,201604,Adult,"172,676",
Alabama,201604,Aged,"111,281",
Alabama,201604,Persons with disabilities,"215,468",
Alabama,201604,COVID newly-eligible,0,
Alabama,201604,Unknown,53,
Alabama,201605,Children,"635,834",
Alabama,201605,Adult expansion group,0,
Alabama,201605,Adult,"171,827",
Alabama,201605,Aged,"111,394",
Alabama,201605,Persons with disabilities,"215,094",
Alabama,201605,COVID newly-eligible,0,
Alabama,201605,Unknown,48,
Alabama,201606,Children,"635,042",
Alabama,201606,Adult expansion group,0,
Alabama,201606,Adult,"171,202",
Alabama,201606,Aged,"111,574",
Alabama,201606,Persons with disabilities,"214,925",
Alabama,201606,COVID newly-eligible,0,
Alabama,201606,Unknown,53,
Alabama,201607,Children,"634,381",
Alabama,201607,Adult expansion group,0,
Alabama,201607,Adult,"170,458",
Alabama,201607,Aged,"111,854",
Alabama,201607,Persons with disabilities,"214,801",
Alabama,201607,COVID newly-eligible,0,
Alabama,201607,Unknown,42,
Alabama,201608,Children,"636,808",
Alabama,201608,Adult expansion group,0,
Alabama,201608,Adult,"171,266",
Alabama,201608,Aged,"112,145",
Alabama,201608,Persons with disabilities,"214,693",
Alabama,201608,COVID newly-eligible,0,
Alabama,201608,Unknown,35,
Alabama,201609,Children,"637,136",
Alabama,201609,Adult expansion group,0,
Alabama,201609,Adult,"171,096",
Alabama,201609,Aged,"112,275",
Alabama,201609,Persons with disabilities,"214,624",
Alabama,201609,COVID newly-eligible,0,
Alabama,201609,Unknown,30,
Alabama,201610,Children,"636,378",
Alabama,201610,Adult expansion group,0,
Alabama,201610,Adult,"170,236",
Alabama,201610,Aged,"112,492",
Alabama,201610,Persons with disabilities,"214,369",
Alabama,201610,COVID newly-eligible,0,
Alabama,201610,Unknown,26,
Alabama,201611,Children,"638,005",
Alabama,201611,Adult expansion group,0,
Alabama,201611,Adult,"170,524",
Alabama,201611,Aged,"112,550",
Alabama,201611,Persons with disabilities,"213,711",
Alabama,201611,COVID newly-eligible,0,
Alabama,201611,Unknown,22,
Alabama,201612,Children,"639,337",
Alabama,201612,Adult expansion group,0,
Alabama,201612,Adult,"169,813",
Alabama,201612,Aged,"112,622",
Alabama,201612,Persons with disabilities,"213,385",
Alabama,201612,COVID newly-eligible,0,
Alabama,201612,Unknown,16,
Alabama,201701,Children,"640,586",
Alabama,201701,Adult expansion group,0,
Alabama,201701,Adult,"167,303",
Alabama,201701,Aged,"112,573",
Alabama,201701,Persons with disabilities,"213,436",
Alabama,201701,COVID newly-eligible,0,
Alabama,201701,Unknown,17,
Alabama,201702,Children,"642,715",
Alabama,201702,Adult expansion group,0,
Alabama,201702,Adult,"166,423",
Alabama,201702,Aged,"112,648",
Alabama,201702,Persons with disabilities,"213,378",
Alabama,201702,COVID newly-eligible,0,
Alabama,201702,Unknown,11,
Alabama,201703,Children,"644,841",
Alabama,201703,Adult expansion group,0,
Alabama,201703,Adult,"165,907",
Alabama,201703,Aged,"112,809",
Alabama,201703,Persons with disabilities,"212,910",
Alabama,201703,COVID newly-eligible,0,
Alabama,201703,Unknown,DS,
Alabama,201704,Children,"645,340",
Alabama,201704,Adult expansion group,0,
Alabama,201704,Adult,"164,912",
Alabama,201704,Aged,"112,858",
Alabama,201704,Persons with disabilities,"212,972",
Alabama,201704,COVID newly-eligible,0,
Alabama,201704,Unknown,DS,
Alabama,201705,Children,"647,653",
Alabama,201705,Adult expansion group,0,
Alabama,201705,Adult,"164,919",
Alabama,201705,Aged,"112,869",
Alabama,201705,Persons with disabilities,"212,759",
Alabama,201705,COVID newly-eligible,0,
Alabama,201705,Unknown,DS,
Alabama,201706,Children,"650,241",
Alabama,201706,Adult expansion group,0,
Alabama,201706,Adult,"164,642",
Alabama,201706,Aged,"113,046",
Alabama,201706,Persons with disabilities,"212,594",
Alabama,201706,COVID newly-eligible,0,
Alabama,201706,Unknown,DS,
Alabama,201707,Children,"651,480",
Alabama,201707,Adult expansion group,0,
Alabama,201707,Adult,"164,699",
Alabama,201707,Aged,"113,445",
Alabama,201707,Persons with disabilities,"212,543",
Alabama,201707,COVID newly-eligible,0,
Alabama,201707,Unknown,DS,
Alabama,201708,Children,"653,300",
Alabama,201708,Adult expansion group,0,
Alabama,201708,Adult,"164,346",
Alabama,201708,Aged,"113,896",
Alabama,201708,Persons with disabilities,"212,439",
Alabama,201708,COVID newly-eligible,0,
Alabama,201708,Unknown,DS,
Alabama,201709,Children,"652,912",
Alabama,201709,Adult expansion group,0,
Alabama,201709,Adult,"162,986",
Alabama,201709,Aged,"114,241",
Alabama,201709,Persons with disabilities,"212,160",
Alabama,201709,COVID newly-eligible,0,
Alabama,201709,Unknown,DS,
Alabama,201710,Children,"653,150",
Alabama,201710,Adult expansion group,0,
Alabama,201710,Adult,"162,828",
Alabama,201710,Aged,"114,540",
Alabama,201710,Persons with disabilities,"212,195",
Alabama,201710,COVID newly-eligible,0,
Alabama,201710,Unknown,DS,
Alabama,201711,Children,"653,574",
Alabama,201711,Adult expansion group,0,
Alabama,201711,Adult,"162,025",
Alabama,201711,Aged,"114,768",
Alabama,201711,Persons with disabilities,"212,023",
Alabama,201711,COVID newly-eligible,0,
Alabama,201711,Unknown,DS,
Alabama,201712,Children,"654,644",
Alabama,201712,Adult expansion group,0,
Alabama,201712,Adult,"161,414",
Alabama,201712,Aged,"115,023",
Alabama,201712,Persons with disabilities,"211,493",
Alabama,201712,COVID newly-eligible,0,
Alabama,201712,Unknown,DS,
Alabama,201801,Children,"656,530",
Alabama,201801,Adult expansion group,0,
Alabama,201801,Adult,"161,061",
Alabama,201801,Aged,"115,241",
Alabama,201801,Persons with disabilities,"212,155",
Alabama,201801,COVID newly-eligible,0,
Alabama,201801,Unknown,DS,
Alabama,201802,Children,"655,760",
Alabama,201802,Adult expansion group,0,
Alabama,201802,Adult,"160,780",
Alabama,201802,Aged,"115,157",
Alabama,201802,Persons with disabilities,"211,818",
Alabama,201802,COVID newly-eligible,0,
Alabama,201802,Unknown,DS,
Alabama,201803,Children,"656,029",
Alabama,201803,Adult expansion group,0,
Alabama,201803,Adult,"161,156",
Alabama,201803,Aged,"115,310",
Alabama,201803,Persons with disabilities,"211,657",
Alabama,201803,COVID newly-eligible,0,
Alabama,201803,Unknown,0,
Alabama,201804,Children,"658,817",
Alabama,201804,Adult expansion group,0,
Alabama,201804,Adult,"161,470",
Alabama,201804,Aged,"115,334",
Alabama,201804,Persons with disabilities,"211,648",
Alabama,201804,COVID newly-eligible,0,
Alabama,201804,Unknown,0,
Alabama,201805,Children,"658,367",
Alabama,201805,Adult expansion group,0,
Alabama,201805,Adult,"161,441",
Alabama,201805,Aged,"115,398",
Alabama,201805,Persons with disabilities,"211,101",
Alabama,201805,COVID newly-eligible,0,
Alabama,201805,Unknown,0,
Alabama,201806,Children,"657,702",
Alabama,201806,Adult expansion group,0,
Alabama,201806,Adult,"160,922",
Alabama,201806,Aged,"115,591",
Alabama,201806,Persons with disabilities,"211,081",
Alabama,201806,COVID newly-eligible,0,
Alabama,201806,Unknown,0,
Alabama,201807,Children,"659,536",
Alabama,201807,Adult expansion group,0,
Alabama,201807,Adult,"161,685",
Alabama,201807,Aged,"116,015",
Alabama,201807,Persons with disabilities,"210,829",
Alabama,201807,COVID newly-eligible,0,
Alabama,201807,Unknown,0,
Alabama,201808,Children,"661,872",
Alabama,201808,Adult expansion group,0,
Alabama,201808,Adult,"161,979",
Alabama,201808,Aged,"116,494",
Alabama,201808,Persons with disabilities,"210,146",
Alabama,201808,COVID newly-eligible,0,
Alabama,201808,Unknown,0,
Alabama,201809,Children,"660,660",
Alabama,201809,Adult expansion group,0,
Alabama,201809,Adult,"161,354",
Alabama,201809,Aged,"116,844",
Alabama,201809,Persons with disabilities,"209,803",
Alabama,201809,COVID newly-eligible,0,
Alabama,201809,Unknown,0,
Alabama,201810,Children,"660,767",
Alabama,201810,Adult expansion group,0,
Alabama,201810,Adult,"161,276",
Alabama,201810,Aged,"117,049",
Alabama,201810,Persons with disabilities,"209,443",
Alabama,201810,COVID newly-eligible,0,
Alabama,201810,Unknown,0,
Alabama,201811,Children,"660,550",
Alabama,201811,Adult expansion group,0,
Alabama,201811,Adult,"160,970",
Alabama,201811,Aged,"117,300",
Alabama,201811,Persons with disabilities,"209,053",
Alabama,201811,COVID newly-eligible,0,
Alabama,201811,Unknown,0,
Alabama,201812,Children,"660,581",
Alabama,201812,Adult expansion group,0,
Alabama,201812,Adult,"160,989",
Alabama,201812,Aged,"117,563",
Alabama,201812,Persons with disabilities,"208,433",
Alabama,201812,COVID newly-eligible,0,
Alabama,201812,Unknown,0,
Alabama,201901,Children,"663,231",
Alabama,201901,Adult expansion group,0,
Alabama,201901,Adult,"161,717",
Alabama,201901,Aged,"117,796",
Alabama,201901,Persons with disabilities,"208,432",
Alabama,201901,COVID newly-eligible,0,
Alabama,201901,Unknown,0,
Alabama,201902,Children,"664,731",
Alabama,201902,Adult expansion group,0,
Alabama,201902,Adult,"162,370",
Alabama,201902,Aged,"117,789",
Alabama,201902,Persons with disabilities,"208,346",
Alabama,201902,COVID newly-eligible,0,
Alabama,201902,Unknown,0,
Alabama,201903,Children,"665,356",
Alabama,201903,Adult expansion group,0,
Alabama,201903,Adult,"162,348",
Alabama,201903,Aged,"117,817",
Alabama,201903,Persons with disabilities,"208,071",
Alabama,201903,COVID newly-eligible,0,
Alabama,201903,Unknown,0,
Alabama,201904,Children,"665,764",
Alabama,201904,Adult expansion group,0,
Alabama,201904,Adult,"163,302",
Alabama,201904,Aged,"117,944",
Alabama,201904,Persons with disabilities,"208,026",
Alabama,201904,COVID newly-eligible,0,
Alabama,201904,Unknown,0,
Alabama,201905,Children,"668,915",
Alabama,201905,Adult expansion group,0,
Alabama,201905,Adult,"164,271",
Alabama,201905,Aged,"118,140",
Alabama,201905,Persons with disabilities,"207,790",
Alabama,201905,COVID newly-eligible,0,
Alabama,201905,Unknown,0,
Alabama,201906,Children,"671,132",
Alabama,201906,Adult expansion group,0,
Alabama,201906,Adult,"164,717",
Alabama,201906,Aged,"118,416",
Alabama,201906,Persons with disabilities,"207,462",
Alabama,201906,COVID newly-eligible,0,
Alabama,201906,Unknown,0,
Alabama,201907,Children,"674,172",
Alabama,201907,Adult expansion group,0,
Alabama,201907,Adult,"165,427",
Alabama,201907,Aged,"118,891",
Alabama,201907,Persons with disabilities,"207,250",
Alabama,201907,COVID newly-eligible,0,
Alabama,201907,Unknown,0,
Alabama,201908,Children,"676,680",
Alabama,201908,Adult expansion group,0,
Alabama,201908,Adult,"165,792",
Alabama,201908,Aged,"119,298",
Alabama,201908,Persons with disabilities,"206,947",
Alabama,201908,COVID newly-eligible,0,
Alabama,201908,Unknown,0,
Alabama,201909,Children,"677,968",
Alabama,201909,Adult expansion group,0,
Alabama,201909,Adult,"166,071",
Alabama,201909,Aged,"119,656",
Alabama,201909,Persons with disabilities,"206,741",
Alabama,201909,COVID newly-eligible,0,
Alabama,201909,Unknown,0,
Alabama,201910,Children,"678,865",
Alabama,201910,Adult expansion group,0,
Alabama,201910,Adult,"166,275",
Alabama,201910,Aged,"119,963",
Alabama,201910,Persons with disabilities,"206,317",
Alabama,201910,COVID newly-eligible,0,
Alabama,201910,Unknown,0,
Alabama,201911,Children,"679,512",
Alabama,201911,Adult expansion group,0,
Alabama,201911,Adult,"166,122",
Alabama,201911,Aged,"120,312",
Alabama,201911,Persons with disabilities,"206,044",
Alabama,201911,COVID newly-eligible,0,
Alabama,201911,Unknown,0,
Alabama,201912,Children,"680,017",
Alabama,201912,Adult expansion group,0,
Alabama,201912,Adult,"166,247",
Alabama,201912,Aged,"120,568",
