ER25001,ER25002,ER25003,ER25004,ER27442,ER27451,ER27708,ER28037,ER36001,ER36002,ER36003,ER36004,ER40614,ER40622,ER41027,ER42001,ER42002,ER42003,ER42004,ER46592,ER46600,ER46935,ER47301,ER47302,ER47303,ER47304,ER51953,ER51961,ER52046,ER52343,ER53001,ER53002,ER53003,ER53004,ER57709,ER57730,ER58152,ER60001,ER60002,ER60003,ER60004,ER64869,ER64910,ER65349,ER66001,ER66002,ER66003,ER66004,ER70941,ER71042,ER71064,ER71426,ER72001,ER72002,ER72003,ER72004,ER76960,ER77064,ER77086,ER77448,ER78001,ER78002,ER78003,ER78004,ER81188,ER81340,ER81422,ER81775
7,289,41,47,0,0,0,23440,8,148,41,47,0,0,89560,6,13,41,47,0,0,24960,6,218,41,47,0,0,0,40416,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,2356,41,47,8,4800,3,66400,8,5399,41,47,8,6000,275800,6,1827,41,47,8,4800,71844,6,8397,41,47,8,4000,3,60000,4,7517,41,47,8,6000,170000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,4097,15,20,8,0,10,20200,8,720,41,47,8,0,9434,6,1840,41,47,8,0,52656,6,2541,41,47,8,0,1,18428,4,8684,41,47,8,0,55080,2,8474,41,47,8,0,60704,3,5620,41,47,8,0,0,10800,1,4574,41,47,6,300,1,11028,,,,,,,,
7,6880,41,47,8,500,2,67000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,8559,41,47,8,0,1,56000,1,8597,41,47,31,0,0,60970,2,4890,41,47,31,0,0,11720
7,1288,41,47,0,0,0,37400,,,,,,,,6,8582,41,47,8,0,59778,6,2845,41,47,8,0,10,42504,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,1428,41,47,8,0,45084,3,6510,41,47,8,0,0,3705,1,6314,41,47,6,0,1,9380,2,3944,41,47,6,0,3,9528
7,641,41,47,8,0,0,28500,8,189,41,47,8,0,35000,6,5839,41,47,8,0,32000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,1299,15,20,8,0,2,19500,,,,,,,,6,2003,15,20,8,0,11000,,,,,,,,,4,8434,15,20,8,0,7000,2,4738,15,20,8,0,52000,3,9172,15,20,8,0,1,89347,1,7898,15,20,14,0,0,10000,2,2163,15,20,14,0,0,12000
7,7811,41,47,8,0,1,36080,,,,,,,,6,8333,41,47,8,0,60752,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,7971,41,47,8,1000,1,127800,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
